Price,employees,CEO_age,intra_day_up,intra_week_up,intra_month_up,Symbol,ipoDate,sector,IPO_weekday,firstday_volume,inweek_volume,inmonth_volume,SP500_lastweek_return
6.3,128.0,57.46021093000968,1,1,0,AMCF,2010-01-26,Energy,1,955563.0,5932224.0,6363594.0,-0.007087475276935032
20.0,3.0,60.0,1,1,1,CHSP,2010-01-22,Real Estate,4,3492458.0,600849.3099999999,1913988.3554000002,-0.005607839182951395
13.0,1486.0,50.0,1,1,1,GNRC,2010-02-11,Industrials,3,16892087.0,2179334.38,4954609.4869,-0.0031561663615037793
15.0,568.0,62.0,0,1,0,QNST,2010-02-11,Technology,3,5372077.0,3362175.4600000004,7004537.7701,-0.0031561663615037793
20.0,6.0,61.0,1,1,1,TRNO,2010-02-10,Real Estate,2,4515261.0,761697.7076,1939839.8022999996,-0.0026858076736129594
14.5,109.0,59.0,1,1,1,PDM,2010-02-10,Real Estate,2,4343012.0,3551568.4099999997,14924069.5763,-0.0026858076736129594
11.25,165.0,59.0,1,1,0,IRWD,2010-02-03,Healthcare,2,2592648.0,1435157.4743999997,3439049.852200001,0.00011354052745366732
15.0,1253.0,67.0,1,1,1,SSNC,2010-03-31,Technology,2,15108702.0,4394185.989999999,13716529.889999995,0.0004520339358558001
13.0,9.0,43.0,0,0,0,STNG,2010-03-31,Industrials,2,2960070.0,1723465.89,8677491.348800002,0.0004520339358558001
12.25,6181.0,57.46021093000968,1,1,1,HTHT,2010-03-26,Consumer Cyclical,4,5826154.0,3824275.1936000003,8243946.708900001,5.631738280258742e-05
6.5,4.0,64.0,0,0,0,CRMD,2010-03-25,Healthcare,3,11933714.20209696,9200985.52575441,26558084.22784357,0.0007825964119734717
14.5,1730.0,62.0,1,1,1,FIBK,2010-03-24,Financial Services,2,5214029.0,2471466.5698999995,5343296.218499997,0.002137351217645546
13.0,407.0,66.0,0,0,1,CALX,2010-03-24,Technology,2,5533491.0,3204425.7400000007,7710187.826300004,0.002137351217645546
14.0,177.0,53.0,0,0,0,MXL,2010-03-24,Technology,2,6890754.0,3532673.732000001,7055317.187500004,0.002137351217645546
9.0,133.0,57.0,1,1,0,AVEO,2010-03-12,Healthcare,4,2692762.0,1023141.08,1969518.6811999998,0.003947067625029087
18.0,9500.0,65.0,0,0,0,ST,2010-03-11,Technology,3,13231447.0,7391161.010000003,18155451.9801,0.004039431560614926
7.0,14.0,55.0,0,0,0,ANTH,2010-03-01,Healthcare,0,10332.0,72870.2064,128853.69759999996,0.001177323043782438
18.0,855.0,77.0,1,1,1,AOSL,2010-04-29,Technology,3,3798927.0,1110199.79,3227543.1520000002,1.3712804912040838e-05
13.0,290.0,58.0,0,0,1,CDXS,2010-04-22,Healthcare,3,3332220.0,1047110.5300000001,3305831.9099999983,0.0013843750462957224
11.0,21.0,54.0,0,1,1,ALIM,2010-04-22,Healthcare,3,2028559.0,772110.185,2536051.248700001,0.0013843750462957224
12.0,292.0,60.0,0,0,1,SPSC,2010-04-22,Technology,3,1765767.0,398658.58599999995,1239483.1210000003,0.0013843750462957224
20.0,3107.493309545049,67.0,1,1,1,CLDT,2010-04-16,Real Estate,4,2368400.0,834599.17,1846275.7049000002,0.0011966184916001005
21.0,1700.0,58.0,0,0,0,MUSA,2010-04-09,Consumer Cyclical,4,911114.0,1914649.9499999997,42011369.918900006,0.0025621077275683906
15.0,1995.0,63.0,0,0,0,PRI,2010-04-01,Financial Services,3,18076902.0,10298006.54,28068989.02,0.0004867245415600368
6.0,63.0,61.0,1,1,1,GNMK,2010-05-28,Healthcare,4,397480.0,3812314.207500001,4538801.302800003,-0.0030950155891007153
11.0,2640.0,49.0,0,1,1,JKS,2010-05-14,Technology,4,1560580.0,1261635.0056999996,2463744.386299999,-0.0034700806487439734
17.0,17000.0,55.0,1,1,1,EXPR,2010-05-13,Consumer Cyclical,3,8791804.0,5665599.970000002,14771828.041999996,-0.001725300679682145
14.0,925.0,62.0,0,0,0,RRTS,2010-05-13,Industrials,3,3341439.0,1240819.1500000004,3843754.720000001,-0.001725300679682145
8.0,878.0,58.0,0,0,0,TNAV,2010-05-13,Technology,3,2349495.0,1257331.7349999996,2609677.3275000006,-0.001725300679682145
11.25,562.0,61.0,1,1,1,PLOW,2010-05-05,Consumer Cyclical,2,2975015.0,1063778.3605999998,2434333.4525999995,-0.00541829695977888
17.0,646.0,50.0,0,0,0,TSLA,2010-06-29,Consumer Cyclical,1,18783276.0,44324915.70999999,86960059.23319998,-0.009986871942964057
10.0,5400.0,55.0,0,0,0,FN,2010-06-25,Technology,4,3161210.0,849987.3060000001,3233035.5973000005,-0.004893858236108027
14.0,35.0,62.0,0,0,0,OAS,2010-06-17,Energy,3,16024353.0,9197279.129999999,22498537.53200001,0.007194485381357173
7.0,862.0,52.0,1,1,1,BORN,2010-06-11,Consumer Defensive,4,1449868.0,1602618.448,3110357.529000001,-0.0007101797226575066
36.0,289.0,60.0,0,0,0,GDOT,2010-07-22,Financial Services,3,4941204.0,1285666.3532000005,2295009.096100001,-9.807196759118295e-05
10.0,649.0,75.0,0,0,0,AMRC,2010-07-22,Industrials,3,3445546.0,2133052.4299999997,4530440.793499997,-9.807196759118295e-05
12.0,52.0,79.0,1,1,1,WSR,2010-08-26,Real Estate,3,243214.0,277554.43,783491.6452,-0.006009117921959303
4.0,70.0,66.0,1,1,1,ELMD,2010-08-13,Healthcare,4,277700.0,435500.0,578600.0,-0.006148284640204306
14.0,757.0,53.0,0,0,0,MMYT,2010-08-12,Consumer Cyclical,3,5473976.0,4626494.228499999,14695957.451500002,-0.0047090436576926464
11.0,1260.0,75.0,0,0,0,RP,2010-08-12,Technology,3,4381181.0,2125582.6100000003,4112149.6437000013,-0.0047090436576926464
14.0,27539.0,71.0,1,1,1,NXPI,2010-08-06,Technology,4,10676390.0,9276804.829999998,21339905.8106,0.002029942036524227
16.0,296.0,56.0,0,0,0,AMRS,2010-09-28,Basic Materials,1,159406.0,80237.29699999999,192338.8990000001,0.00283804144248691
16.0,160.0,61.0,1,1,1,COR,2010-09-23,Real Estate,3,15561023.0,3928952.65,10261765.5474,0.0004989420990374471
42.5,4810.0,46.0,1,1,1,SFUN,2010-09-17,Technology,4,68868500.0,46067548.253000006,122472548.55110002,0.0034452529183583358
16.0,369.0,73.0,0,1,1,PACB,2010-10-27,Healthcare,2,6093053.0,3587522.2600000002,8811589.654899998,-0.00024524781268101377
16.0,1213.0,56.0,0,0,0,VRA,2010-10-21,Consumer Cyclical,3,8757064.0,2834356.4760000007,7129751.067700003,0.0013102282232607518
13.0,7400.0,62.0,1,1,0,TOWR,2010-10-15,Consumer Cyclical,4,3436062.0,591421.4099999998,2455609.283,0.0019924960933078084
22.5,0.0,60.0,1,1,1,EFC,2010-10-08,Financial Services,4,3743580.0,1139253.06,1752971.0188,0.002566125585423018
