index,employees,CEO_age,Name,Symbol,ipoDate,sector,IPO_weekday,firstday_volume,inweek_volume,Y_Open_Price,intra_day_up,intra_week_up,intra_month_up,SP500_lastweek_return,positive,negative,neutral
0,128.0,57.46021093000968,ANDATEE CHINA MARINE FUEL SERVICES CORP,AMCF,2010-01-26,Energy,1,955563.0,5878947.0,6.5,1,1,0,-0.007087475276935032,0.33,0.33,0.33
2,1486.0,50.0,GENERAC HOLDINGS INC.,GNRC,2010-02-11,Industrials,3,16892087.0,2179334.38,13.0,1,1,1,-0.0031561663615037793,0.33,0.33,0.33
3,568.0,62.0,"QUINSTREET, INC",QNST,2010-02-11,Technology,3,5372077.0,3362175.4600000004,15.0,0,1,0,-0.0031561663615037793,0.33,0.33,0.33
4,6.0,61.0,TERRENO REALTY CORP,TRNO,2010-02-10,Real Estate,2,4515261.0,761697.7076,18.75,1,1,1,-0.0026858076736129594,0.33,0.33,0.33
5,109.0,59.0,"PIEDMONT OFFICE REALTY TRUST, INC.",PDM,2010-02-10,Real Estate,2,4343012.0,3551568.4099999997,14.75,1,1,1,-0.0026858076736129594,0.33,0.33,0.33
6,165.0,59.0,IRONWOOD PHARMACEUTICALS INC,IRWD,2010-02-03,Healthcare,2,2592648.0,1435157.4743999997,10.385259628295898,1,1,0,0.00011354052745366732,0.33,0.33,0.33
7,1253.0,67.0,SS&C TECHNOLOGIES HOLDINGS INC,SSNC,2010-03-31,Technology,2,15108702.0,4394185.989999999,8.0,1,1,1,0.0004520339358558001,0.33,0.33,0.33
8,9.0,43.0,SCORPIO TANKERS INC.,STNG,2010-03-31,Industrials,2,2960070.0,1723465.89,127.5,1,1,1,0.0004520339358558001,0.33,0.33,0.33
9,6181.0,57.46021093000968,HUAZHU GROUP LTD,HTHT,2010-03-26,Consumer Cyclical,4,5826154.0,3824275.1936000003,3.375,1,0,0,5.631738280258742e-05,0.33,0.33,0.33
11,1730.0,62.0,FIRST INTERSTATE BANCSYSTEM INC,FIBK,2010-03-24,Financial Services,2,5214029.0,2471466.5698999995,16.0,1,1,1,0.002137351217645546,0.33,0.33,0.33
12,407.0,66.0,"CALIX, INC",CALX,2010-03-24,Technology,2,5533491.0,3204425.7400000007,17.0,1,1,1,0.002137351217645546,0.33,0.33,0.33
13,177.0,53.0,MAXLINEAR INC,MXL,2010-03-24,Technology,2,6890754.0,3532673.732000001,17.950000762939453,0,1,1,0.002137351217645546,0.33,0.33,0.33
14,133.0,57.0,AVEO PHARMACEUTICALS INC,AVEO,2010-03-12,Healthcare,4,2692762.0,1023141.08,82.5,0,0,0,0.003947067625029087,0.33,0.33,0.33
15,9500.0,65.0,SENSATA TECHNOLOGIES HOLDING PLC,ST,2010-03-11,Technology,3,13231447.0,7391161.010000003,18.0,0,0,0,0.004039431560614926,0.33,0.33,0.33
16,14.0,55.0,ANTHERA PHARMACEUTICALS INC,ANTH,2010-03-01,Healthcare,0,10332.0,72870.2064,469.1199951171875,1,1,1,0.001177323043782438,0.33,0.33,0.33
17,855.0,77.0,ALPHA & OMEGA SEMICONDUCTOR LTD,AOSL,2010-04-29,Technology,3,3798927.0,1110199.79,18.110000610351562,1,1,1,1.3712804912040838e-05,0.33,0.33,0.33
18,290.0,58.0,CODEXIS INC,CDXS,2010-04-22,Healthcare,3,3332220.0,1047110.5300000001,13.0,0,0,1,0.0013843750462957224,0.33,0.33,0.33
20,292.0,60.0,SPS COMMERCE INC,SPSC,2010-04-22,Technology,3,1765767.0,398658.58599999995,7.0,1,1,1,0.0013843750462957224,0.33,0.33,0.33
21,3107.493309545049,67.0,CHATHAM LODGING TRUST,CLDT,2010-04-16,Real Estate,4,2368400.0,834599.17,20.25,1,1,1,0.0011966184916001005,0.33,0.33,0.33
23,1995.0,63.0,"PRIMERICA, INC.",PRI,2010-04-01,Financial Services,3,18076902.0,10298006.54,19.149999618530273,1,0,0,0.0004867245415600368,0.33,0.33,0.33
25,2640.0,49.0,"JINKOSOLAR HOLDING CO., LTD.",JKS,2010-05-14,Technology,4,1560580.0,1261635.0056999996,11.0,0,1,0,-0.0034700806487439734,0.33,0.33,0.33
26,17000.0,55.0,"EXPRESS, INC.",EXPR,2010-05-13,Consumer Cyclical,3,8791804.0,5665599.970000002,17.0,1,1,1,-0.001725300679682145,0.33,0.33,0.33
27,925.0,62.0,"ROADRUNNER TRANSPORTATION SYSTEMS, INC.",RRTS,2010-05-13,Industrials,3,3341439.0,1240819.1500000004,343.75,0,0,0,-0.001725300679682145,0.33,0.33,0.33
29,562.0,61.0,"DOUGLAS DYNAMICS, INC",PLOW,2010-05-05,Consumer Cyclical,2,2975015.0,1063778.3605999998,11.25,1,1,1,-0.00541829695977888,0.33,0.33,0.33
30,646.0,50.0,"TESLA, INC.",TSLA,2010-06-29,Consumer Cyclical,1,18783276.0,44324915.70999999,1.2666670083999634,0,1,0,-0.009986871942964057,0.33,0.33,0.33
31,5400.0,55.0,FABRINET,FN,2010-06-25,Technology,4,3161210.0,849987.3060000001,10.949999809265137,1,1,0,-0.004893858236108027,0.33,0.33,0.33
34,289.0,60.0,GREEN DOT CORP,GDOT,2010-07-22,Financial Services,3,4941204.0,1285666.3532000005,43.150001525878906,0,0,0,-9.807196759118295e-05,0.33,0.33,0.33
35,649.0,75.0,"AMERESCO, INC.",AMRC,2010-07-22,Industrials,3,3445546.0,2133052.4299999997,10.25,1,1,0,-9.807196759118295e-05,0.33,0.33,0.33
36,52.0,79.0,WHITESTONE REIT,WSR,2010-08-26,Real Estate,3,243214.0,277554.43,12.0,1,1,1,-0.006009117921959303,0.33,0.33,0.33
37,70.0,66.0,"ELECTROMED, INC.",ELMD,2010-08-13,Healthcare,4,277700.0,426700.0,4.050000190734863,1,1,1,-0.006148284640204306,0.33,0.33,0.33
38,757.0,53.0,MAKEMYTRIP LTD,MMYT,2010-08-12,Consumer Cyclical,3,5473976.0,4626494.228499999,22.0,0,0,0,-0.0047090436576926464,0.33,0.33,0.33
40,27539.0,71.0,NXP SEMICONDUCTORS N.V.,NXPI,2010-08-06,Technology,4,10676390.0,9276804.829999998,13.0,0,1,1,0.002029942036524227,0.33,0.33,0.33
41,296.0,56.0,"AMYRIS, INC.",AMRS,2010-09-28,Basic Materials,1,159406.0,80237.29699999999,247.5,0,0,0,0.00283804144248691,0.33,0.33,0.33
44,369.0,73.0,"PACIFIC BIOSCIENCES OF CALIFORNIA, INC.",PACB,2010-10-27,Healthcare,2,6093053.0,3587522.2600000002,16.5,1,1,1,-0.00024524781268101377,0.33,0.33,0.33
45,1213.0,56.0,"VERA BRADLEY, INC.",VRA,2010-10-21,Consumer Cyclical,3,8757064.0,2834356.4760000007,23.0,0,0,0,0.0013102282232607518,0.33,0.33,0.33
47,0.0,60.0,ELLINGTON FINANCIAL INC.,EFC,2010-10-08,Financial Services,4,3743580.0,1139253.06,21.5,1,1,1,0.002566125585423018,0.33,0.33,0.33
48,712.0,57.0,DAQO NEW ENERGY CORP.,DQ,2010-10-07,Technology,3,769811.0,1517685.15,9.979999542236328,0,0,0,0.0013218345823997613,0.33,0.33,0.33
50,289.0,58.0,CHINACACHE INTERNATIONAL HOLDINGS LTD.,CCIH,2010-10-01,Technology,4,7039211.0,4524878.130000001,27.0,0,1,0,0.0015415661308003648,0.33,0.33,0.33
51,432.0,56.0,KEYW HOLDING CORP,KEYW,2010-10-01,Technology,4,2641924.0,982723.4310000001,10.300000190734863,0,0,0,0.0015415661308003648,0.33,0.33,0.33
52,13.0,35.0,GLOBUS MARITIME LTD,GLBS,2010-11-26,Industrials,4,25.0,530.2000000000002,47600.0,1,1,1,0.001386407931717499,0.33,0.33,0.33
54,209000.0,60.0,GENERAL MOTORS CO,GM,2010-11-18,Consumer Cyclical,3,458097672.0,214175830.64,35.0,1,1,1,-0.001932558698738207,0.33,0.33,0.33
55,2546.0,58.0,LPL FINANCIAL HOLDINGS INC.,LPLA,2010-11-18,Financial Services,3,10095365.0,1611459.7599999993,33.04999923706055,1,1,1,-0.001932558698738207,0.33,0.33,0.33
56,25100.0,54.0,BOOZ ALLEN HAMILTON HOLDING CORP,BAH,2010-11-17,Industrials,2,7376101.0,1570903.66,19.450000762939453,1,1,1,-0.005276789152438645,0.33,0.33,0.33
60,142.0,57.0,HOWARD HUGHES CORP,HHC,2010-11-10,Real Estate,2,54444.0,3667063.17,35.5,0,0,0,0.0041208254269379085,0.33,0.33,0.33
61,520.0,50.0,NOAH HOLDINGS LTD,NOAH,2010-11-10,Financial Services,2,9275158.0,5802758.849999999,15.0,0,0,0,0.0041208254269379085,0.33,0.33,0.33
62,75.0,47.0,PRIMO WATER CORP,PRMW,2010-11-05,Consumer Defensive,4,3770424.0,919426.2099999998,8.399999618530273,1,1,1,0.005182149972004042,0.33,0.33,0.33
63,3107.493309545049,53.0,COSTAMARE INC.,CMRE,2010-11-04,Industrials,3,7605788.0,4259396.369999999,12.0,1,1,1,0.004237387614761445,0.33,0.33,0.33
65,150.0,55.0,"WALKER & DUNLOP, INC.",WD,2010-12-15,Financial Services,2,6243959.0,14329087.080000002,10.0,1,1,0,0.0014140078447539522,0.33,0.33,0.33
67,1130.0,65.0,FLEETCOR TECHNOLOGIES INC,FLT,2010-12-15,Industrials,2,8926016.0,2050432.26,25.0,0,0,0,0.0014140078447539522,0.33,0.33,0.33
69,446.0,63.0,SEMILEDS CORP,LEDS,2010-12-08,Technology,2,726438.0,279448.699,240.0,0,0,1,0.004841019890143151,0.33,0.33,0.33
70,1000.0,62.0,TARGA RESOURCES CORP.,TRGP,2010-12-07,Energy,1,10577595.0,3224544.3702000002,24.100000381469727,1,1,1,0.004115217151463156,0.33,0.33,0.33
71,5757.0,52.0,ADECOAGRO S.A.,AGRO,2011-01-28,Consumer Defensive,4,8790447.0,7833362.299999999,10.75,0,0,0,-0.0005955692330748473,0.33,0.33,0.33
72,1169.0,51.0,"BANKUNITED, INC.",BKU,2011-01-28,Financial Services,4,25965359.0,6958742.130000003,29.5,1,1,1,-0.0005955692330748473,0.33,0.33,0.33
75,226.0,57.46021093000968,"TIBET PHARMACEUTICALS, INC.",TBET,2011-01-25,Healthcare,1,191580.0,322912.0,5.550000190734863,0,1,1,0.0008376610687216608,0.33,0.33,0.33
76,100.0,85.0,"AMERICAN ASSETS TRUST, INC.",AAT,2011-01-13,Real Estate,3,15536889.0,4181717.8699999987,21.530000686645508,1,1,1,0.0015264377874066076,0.33,0.33,0.33
77,19.0,54.0,ACELRX PHARMACEUTICALS INC,ACRX,2011-02-11,Healthcare,4,1129118.0,283779.65369999997,100.0,1,1,1,0.0027334977549815192,0.33,0.33,0.33
78,7900.0,60.0,"KINDER MORGAN, INC.",KMI,2011-02-11,Energy,4,50613513.0,25469371.04,31.700000762939453,1,1,1,0.0027334977549815192,0.33,0.33,0.33
80,20.0,53.0,"SUMMIT HOTEL PROPERTIES, INC.",INN,2011-02-09,Real Estate,2,16636990.0,3049378.09,9.899999618530273,1,1,1,0.003835528666741385,0.33,0.33,0.33
81,91.0,61.0,"GEVO, INC.",GEVO,2011-02-09,Basic Materials,2,15128.0,111072.0,93120.0,0,0,0,0.003835528666741385,0.33,0.33,0.33
82,40.0,73.0,"BG MEDICINE, INC.",BGMD,2011-02-04,Healthcare,4,49640.0,82772.0,28.0,0,0,0,0.0016091256939751361,0.33,0.33,0.33
83,83.0,72.0,"PACIRA BIOSCIENCES, INC.",PCRX,2011-02-03,Healthcare,3,1495851.0,1982084.3954999999,7.0,0,1,0,0.001800074925748772,0.33,0.33,0.33
85,485.0,70.0,APOLLO GLOBAL MANAGEMENT LLC,APO,2011-03-30,Financial Services,2,30086905.0,18159072.42400001,18.700000762939453,1,1,1,0.0032660304105737803,0.33,0.33,0.33
88,3337.0,57.0,MAGNACHIP SEMICONDUCTOR CORP,MX,2011-03-11,Technology,4,3762185.0,1905468.21,14.0,0,1,0,-0.00038995373636950347,0.33,0.33,0.33
89,194000.0,62.0,"HCA HEALTHCARE, INC.",HCA,2011-03-10,Healthcare,3,64600369.0,40276022.58,31.200000762939453,1,1,1,-0.0011707126990225167,0.33,0.33,0.33
90,582.0,46.0,"21VIANET GROUP, INC.",VNET,2011-04-21,Technology,3,18180211.0,9385789.870000001,20.260000228881836,1,1,1,0.0025291962768967708,0.33,0.33,0.33
91,34.0,68.0,AIR LEASE CORP,AL,2011-04-19,Industrials,1,20033208.0,4689007.179999998,27.25,1,1,1,-0.0016653477401521297,0.33,0.33,0.33
93,196.0,60.0,SEQUANS COMMUNICATIONS,SQNS,2011-04-15,Technology,4,5757233.0,2018569.8400000003,31.799999237060547,0,0,0,-0.0016993147841549547,0.33,0.33,0.33
94,86002.0,59.0,ARCOS DORADOS HOLDINGS INC.,ARCO,2011-04-14,Consumer Cyclical,3,63777574.0,30987826.21000001,21.0,1,1,1,-0.0019481341613334685,0.33,0.33,0.33
96,122.0,57.0,"CVR PARTNERS, LP",UAN,2011-04-08,Basic Materials,4,13311426.0,5410564.894299999,180.0,1,1,1,-6.018798955549036e-06,0.33,0.33,0.33
100,2385.0,51.0,"SPIRIT AIRLINES, INC.",SAVE,2011-05-26,Industrials,3,5200920.0,35808245.45,11.350000381469727,0,0,0,-0.00033188677982462104,0.33,0.33,0.33
101,2677.0,58.0,YANDEX N.V.,YNDX,2011-05-24,Technology,1,70186723.0,25892704.749999996,35.0,0,1,1,-0.0022903491394536163,0.33,0.33,0.33
102,836.0,53.0,PHOENIX NEW MEDIA LTD,FENG,2011-05-12,Technology,3,7228875.0,4340281.27,75.5999984741211,1,1,1,-0.0008147260505940089,0.33,0.33,0.33
103,353.0,68.0,NGL ENERGY PARTNERS LP,NGL,2011-05-12,Energy,3,1951435.0,587885.4158,20.760000228881836,1,1,1,-0.0008147260505940089,0.33,0.33,0.33
