Price;employees;CEO_age;intra_day_up;intra_week_up;intra_month_up;Name;Symbol;ipoDate;sector;IPO_weekday;firstday_volume;inweek_volume;inmonth_volume;SP500_lastweek_return;company_string;positive;negative;neutral
1454716.5284212418;7293.424462924463;54.8125;0;0;0;iShares MSCI All Country Asia ex Japan Index Fund;AAXJ;2008-08-13;Other;2;0.0;33889658.92909997;164933462.43927416;0.0042869405667538;iShares MSCI All Country Asia ex Japan Index Fund;0.0529444627463817;0.0269266944378614;0.9201287627220154
21.0;290.0;53.0;0;1;1;Renmin Tianli Group, Inc.;ABAC;2010-07-20;Consumer Non-Durables;1;59250.0;118270.28000000004;276742.3468;0.0008188172463609;Renmin Tianli Group Inc;0.33;0.33;0.33
34.91;29000.0;63.0;0;1;0;AbbVie Inc.;ABBV;2012-12-10;Health Care;0;749378.0;20048593.67;239111217.7808;0.0002654861824005;AbbVie Inc;0.040813822299241964;0.038686453675230305;0.9204997221628824
3.65;649.0;54.0;0;0;0;Cambium Learning Group, Inc.;ABCD;2009-12-09;Consumer Services;2;3000.0;30147.31;1295853.7200999996;6.823799451674947e-05;Cambium Learning Group Inc;0.23810559399425985;0.01961420997977251;0.7422802090644837
14.83;0.0;53.0;0;0;1;Alcentra Capital Corp.;ABDC;2014-05-09;Other;4;204513.0;194968.44;663862.7921;-0.00040665180981;Alcentra Capital Corp;0.13477294072508808;0.03187611848115918;0.8333509206771851
19.5;438.0;61.0;0;0;0;Ablynx NV;ABLX;2017-10-20;Health Care;4;1000.0;4868756.739999998;10774692.984499997;0.0011145517433682;Ablynx NV;0.07711631349391403;0.043124798685312236;0.8797588878207736
7.1705;130.0;67.0;0;1;1;Arbutus Biopharma Corporation;ABUS;2007-07-23;Health Care;0;2000.0;1792.6575;16210.787000000011;-0.0005518196033917;Arbutus Biopharma Corporation;0.33;0.33;0.33
22.0;71.0;62.0;0;0;0;Associated Capital Group, Inc.;AC;2015-11-09;Finance;0;700.0;1946.92;363658.05499999993;-0.0007222655721514;Associated Capital Group Inc;0.10916767042933723;0.29118807517521667;0.599644252519105
13.8;353.0;59.0;0;0;0;Atlantic Capital Bancshares, Inc.;ACBI;2015-11-02;Finance;0;1777.0;320570.6853;1292872.9252999998;0.0035739034846485;Atlantic Capital Bancshares Inc;0.20001746534312867;0.1913679117602961;0.6086146251887691
24.78;3140.0;50.0;0;0;0;Arch Capital Group Ltd.;ACGLO;2017-08-16;Finance;2;444321.0;1298611.5284000002;3988120.5913000014;-0.0007159805179274;Arch Capital Group Ltd;0.1360574894933961;0.05546550458000799;0.808477011678571
24.85;3140.0;50.0;0;0;1;Arch Capital Group Ltd.;ACGLP;2016-09-23;Finance;4;3053376.0;4871502.089999999;7798334.7108;0.0026139551555183;Arch Capital Group Ltd;0.1469629635344226;0.067222489671136;0.7858145464345279
8.7;40600.0;62.0;0;0;1;Acadia Healthcare Company, Inc.;ACHC;2011-11-01;Health Care;1;1924.0;115438.644;409522.1131999998;-0.0020906137079495;Acadia Healthcare Company Inc;0.27541279287210535;0.04758745631469143;0.6769997413669314
11.6;88.0;62.0;0;0;0;Achillion Pharmaceuticals, Inc.;ACHN;2006-10-26;Health Care;3;361420.0;317395.14999999985;992862.6758;0.0026032275786839;Achillion Pharmaceuticals Inc;0.33;0.33;0.33
21.1;87000.0;54.0;0;0;0;AECOM;ACM;2007-05-10;Consumer Services;3;20005800.0;15990551.41;35811214.79000001;0.0005160411425761;AECOM;0.33;0.33;0.33
19.96;7293.424462924463;41.0;0;0;0;Aberdeen Income Credit Strategies Fund;ACP;2011-01-27;Other;3;335449.0;53449.64530000001;394471.9559;0.0005096981688387;Aberdeen Income Credit Strategies Fund;0.09738322337599173;0.13042915514425224;0.7721876204013824
13.0;7293.424462924463;54.8125;0;0;0;American Capital Senior Floating, Ltd.;ACSF;2014-01-16;Other;3;5922304.0;3076471.8751000003;6453152.796000002;0.0006433728671599;American Capital Senior Floating Ltd;0.19241980141809872;0.15082044257207833;0.6567597556371062
10.87;0.0;54.8125;0;0;0;Acasti Pharma, Inc.;ACST;2011-05-06;Health Care;4;2000.0;220.525;4571.8309999999965;-0.0016258789726938;Acasti Pharma Inc;0.33;0.33;0.33
